id,name,surname,researchfield,university,age
1612,Daniel L. K.,Gonzalez-Rogers,Government Services,University of Vienna,28
1613,Hannah N. I.,Gonzalez-Gutierrez,Advertising & Marketing,University of Copenhagen,47
1614,Donna J. C.,Gonzalez-Ortiz,Manufacturing,University of Barcelona,35
1615,Olivia S. M.,Gonzalez-Morgan,Software,Columbia University,36
1616,Giannis E. N.,Gonzalez-Cooper,Environmental Services,Humboldt University of Berlin,47
1617,Christopher P. H.,Gonzalez-Peterson,Advertising & Marketing,University of Toronto,39
1618,James Q. X.,Gonzalez-Bailey,Computer Hardware,RWTH Aachen University,31
1619,Abigail S. L.,Gonzalez-Reed,Human Resources,Eindhoven University of Technology,49
1620,Anthony Q. D.,Gonzalez-Kelly,Real Estate,University of Copenhagen,26
1621,Susan,Gonzalez-Howard,Advertising & Marketing,University of Patras,44
1622,Mateo T. I.,Gonzalez-Ramos,IT Services,Leiden University,49
1623,Jacob H. Q.,Gonzalez-Kim,Software,UCL (University College London),39
1624,Ella O. V.,Gonzalez-Cox,Health,Trinity College Dublin,34
1625,Steven O. K.,Gonzalez-Ward,Retail,Charles University,46
1626,Kimberly,Gonzalez-Richardson,Health,Autonomous University of Barcelona,42
1627,Leon C. M.,Gonzalez-Watson,Business Products & Services,University of Porto,41
1628,Matthew,Gonzalez-Brooks,Engineering,Imperial College London,53
1629,Giulia E. G.,Gonzalez-Chavez,Telecommunications,London School of Economics and Political Science,49
1630,Paul A. V.,Gonzalez-Wood,Retail,PSL University,27
1631,Steven,Gonzalez-James,Consumer Products & Services,Aarhus University,35
1632,Katerina O. J.,Gonzalez-Bennett,Real Estate,RWTH Aachen University,46
1633,Mia B. P.,Gonzalez-Gray,Business Products & Services,London School of Economics and Political Science,39
1634,David,Gonzalez-Mendoza,Insurance,Jagiellonian University,54
1635,Thomas,Gonzalez-Ruiz,Consumer Products & Services,Stockholm University,26
1636,Nikolai F. X.,Gonzalez-Hughes,Advertising & Marketing,Sapienza University of Rome,54
1637,Paul,Gonzalez-Price,Health,University of Bristol,54
1638,Richard,Gonzalez-Rossi,Health,KTH Royal Institute of Technology,49
1639,Richard,Gonzalez-Russo,Government Services,Northwestern University,44
1640,Daniel,Gonzalez-Ferrari,Construction,Ghent University,27
1641,Ashley S. C.,Gonzalez-Bianchi,Advertising & Marketing,Columbia University,34
1642,Karen H. K.,Gonzalez-Romano,Government Services,University of Edinburgh,41
1643,Zoe C. X.,Gonzalez-Esposito,Software,ETH Zurich,37
1644,Jennifer M. J.,Gonzalez-Greco,Consumer Products & Services,University of Toronto,49
1645,James,Gonzalez-Conti,Advertising & Marketing,California Institute of Technology,33
1646,Steven,Gonzalez-DeLuca,Real Estate,Technical University of Munich,45
1647,Brian R. F.,Gonzalez-Costa,Energy,Princeton University,34
1648,Eleni V. T.,Gonzalez-Silva,IT System Development,University of Valencia,51
1649,Abigail B. N.,Gonzalez-Santos,Human Resources,University of Barcelona,38
1650,Sarah F. D.,Gonzalez-Ferreira,Manufacturing,Imperial College London,26
1651,Nikolai A. R.,Gonzalez-Pereira,Logistics & Transportation,École Polytechnique,31
1652,Matthew L. N.,Gonzalez-Oliveira,Business Products & Services,University of Helsinki,31
1653,Emily,Gonzalez-Muller,Software,Humboldt University of Berlin,43
1654,Jennifer J. Z.,Gonzalez-Schmidt,Consumer Products & Services,Complutense University of Madrid,38
1655,Ashley,Gonzalez-Schneider,Human Resources,University of Helsinki,41
1656,Zoe E. S.,Gonzalez-Fischer,Real Estate,University of Pennsylvania,29
1657,Paul,Gonzalez-Weber,Construction,University of Cambridge,35
1658,George L. I.,Gonzalez-Dubois,Software,Stockholm University,40
1659,Anna N. R.,Gonzalez-Moreau,Consumer Products & Services,Harvard University,51
1660,Jennifer,Gonzalez-Lefevre,Real Estate,KU Leuven,54
1661,Brian W. F.,Gonzalez-Laurent,Construction,University of Oslo,24
1662,Charlotte W. Y.,Gonzalez-Leroy,Manufacturing,Harvard University,41
1663,Nancy,Gonzalez-Bernard,Health,University of Patras,47
1664,Charlotte C. U.,Gonzalez-Petit,Government Services,Politecnico di Milano,42
1665,Betty W. W.,Gonzalez-Durand,Business Products & Services,University of Valencia,52
1666,Ashley,Gonzalez-Nowak,Construction,Jagiellonian University,40
1667,Isabella J. X.,Gonzalez-Kowalski,Health,LMU Munich,43
1668,Christopher B. Z.,Gonzalez-Novak,Business Products & Services,Complutense University of Madrid,30
1669,Elena O. M.,Gonzalez-Horvat,Logistics & Transportation,Uppsala University,40
1670,Jennifer Z. R.,Gonzalez-Popescu,Consumer Products & Services,University of Pennsylvania,52
1671,Lisa A. P.,Gonzalez-Ionescu,Software,Johns Hopkins University,52
1672,Steven K. I.,Gonzalez-Papadopoulos,Consumer Products & Services,Aarhus University,40
1673,Jacob C. J.,Gonzalez-Georgiou,IT Management,University of Michigan,24
1674,Nancy,Gonzalez-Nikolaou,Human Resources,University of Toronto,53
1675,Margaret,Gonzalez-Kostas,Manufacturing,Université Paris-Saclay,39
1676,Ronald Y. D.,Gonzalez-Andriou,Health,University of Toronto,30
1677,Betty,Gonzalez-Vasileiou,Construction,LMU Munich,51
1678,Andrew,Wilson-Smith,Real Estate,KU Leuven,43
1679,Nancy M. V.,Wilson-Johnson,Government Services,Stanford University,49
1680,Joseph,Wilson-Williams,Advertising & Marketing,London School of Economics and Political Science,44
1681,Ronald Q. U.,Wilson-Brown,Advertising & Marketing,University of Barcelona,51
1682,Michael,Wilson-Jones,Engineering,Université Paris-Saclay,50
1683,Sophia B. H.,Wilson-Garcia,IT Management,PSL University,52
1684,James G. L.,Wilson-Miller,Software,Princeton University,33
1685,Hannah P. R.,Wilson-Davis,Manufacturing,London School of Economics and Political Science,40
1686,Mia S. T.,Wilson-Rodriguez,Retail,University of Glasgow,53
1687,Mason Q. D.,Wilson-Martinez,Human Resources,University of Lisbon,38
1688,Jason N. U.,Wilson-Hernandez,Food & Beverage,Jagiellonian University,41
1689,Betty,Wilson-Lopez,Health,London School of Economics and Political Science,24
1690,Elizabeth,Wilson-Gonzalez,Advertising & Marketing,Politecnico di Milano,41
1691,Amelia R. Z.,Wilson-Anderson,IT Management,Politecnico di Milano,29
1692,Sofia Z. M.,Wilson-Thomas,Human Resources,Aristotle University of Thessaloniki,49
1693,George M. M.,Wilson-Taylor,Advertising & Marketing,University of Lisbon,24
1694,Lea Z. Y.,Wilson-Moore,Software,California Institute of Technology,52
1695,Elizabeth,Wilson-Jackson,IT System Development,Sorbonne University,48
1696,Jennifer C. L.,Wilson-Martin,Insurance,Université Paris-Saclay,41
1697,Michael,Wilson-Lee,Energy,University of Barcelona,31
1698,Joseph N. M.,Wilson-Perez,Consumer Products & Services,Complutense University of Madrid,34
1699,James,Wilson-Thompson,Education,Complutense University of Madrid,26
1700,Richard K. L.,Wilson-White,Engineering,University of Cambridge,30
1701,Lucas H. R.,Wilson-Harris,Retail,University of Vienna,53
1702,Eleni N. F.,Wilson-Sanchez,Real Estate,Northwestern University,47
1703,Richard H. J.,Wilson-Clark,Software,Imperial College London,26
1704,Lucas B. A.,Wilson-Ramirez,Financial Services,PSL University,47
1705,Nikolai J. R.,Wilson-Lewis,Engineering,KTH Royal Institute of Technology,40
1706,Paul,Wilson-Robinson,Software,Duke University,53
1707,Irene L. V.,Wilson-Walker,Logistics & Transportation,Eindhoven University of Technology,38
1708,Sandra,Wilson-Young,Financial Services,Imperial College London,24
1709,Robert,Wilson-Allen,IT Management,University of Bologna,32
1710,Benjamin Q. C.,Wilson-King,IT System Development,Eindhoven University of Technology,29
1711,Chloe K. B.,Wilson-Wright,Human Resources,"University of California, Berkeley",37
1712,Mary T. X.,Wilson-Scott,Retail,École Polytechnique,42
1713,Elijah Q. W.,Wilson-Torres,IT Management,University of Chicago,25
1714,Margaret,Wilson-Nguyen,Manufacturing,Université Paris-Saclay,24
1715,Joshua,Wilson-Hill,Health,UCL (University College London),32
1716,Paul,Wilson-Flores,Business Products & Services,University College Dublin,28
1717,Noemi N. D.,Wilson-Green,Software,Sorbonne University,32
1718,David,Wilson-Adams,Food & Beverage,Yale University,38
1719,Aria B. E.,Wilson-Nelson,Retail,Sapienza University of Rome,42
1720,James,Wilson-Baker,Health,University of Valencia,40
1721,Jason O. P.,Wilson-Hall,Health,University of Glasgow,27
1722,Anna N. S.,Wilson-Rivera,Retail,Cornell University,33
1723,Barbara,Wilson-Campbell,Advertising & Marketing,University College Dublin,49
1724,Patricia,Wilson-Mitchell,Manufacturing,Trinity College Dublin,27
1725,Donna I. X.,Wilson-Carter,IT Management,University of Zurich,26
1726,Ashley,Wilson-Roberts,Manufacturing,University of Pennsylvania,46
1727,Liam E. R.,Wilson-Phillips,Retail,McGill University,24
1728,Andrew,Wilson-Evans,Health,University of Zurich,46
1729,Donna,Wilson-Turner,Business Products & Services,University College Dublin,31
1730,Joshua,Wilson-Diaz,Health,University of Warwick,47
1731,Elijah X. W.,Wilson-Parker,Government Services,Duke University,42
1732,Irene T. X.,Wilson-Cruz,Retail,Yale University,29
1733,Jessica,Wilson-Edwards,Health,University of Porto,44
1734,Mia K. A.,Wilson-Collins,Health,University of Copenhagen,46
1735,Kimberly D. H.,Wilson-Reyes,Health,Charles University,33
1736,Robert,Wilson-Stewart,Human Resources,Autonomous University of Barcelona,51
1737,Noah B. J.,Wilson-Morris,Business Products & Services,Imperial College London,47
1738,Emily,Wilson-Morales,IT Management,Johns Hopkins University,46
1739,Zoe Z. X.,Wilson-Murphy,Real Estate,University of Toronto,48
1740,Mark,Wilson-Cook,Financial Services,Stanford University,32
1741,Robert T. L.,Wilson-Rogers,Business Products & Services,University of Porto,40
1742,Sandra,Wilson-Gutierrez,Business Products & Services,University of British Columbia,30
1743,Ashley H. Q.,Wilson-Ortiz,IT System Development,Autonomous University of Barcelona,41
1744,Jessica H. H.,Wilson-Morgan,Real Estate,The University of Texas at Austin,35
1745,Margaret G. A.,Wilson-Cooper,Software,Université Paris-Saclay,37
1746,Jennifer C. P.,Wilson-Peterson,Consumer Products & Services,Charles University,27
1747,Elizabeth Q. M.,Wilson-Bailey,Construction,Politecnico di Milano,25
1748,Jason W. M.,Wilson-Reed,Advertising & Marketing,University of Toronto,51
1749,Zoe V. H.,Wilson-Kelly,Business Products & Services,KU Leuven,25
1750,Paul,Wilson-Howard,IT Management,Uppsala University,53
1751,Lisa J. T.,Wilson-Ramos,Construction,University of Warwick,50
1752,Amelia F. S.,Wilson-Kim,Health,University of Oslo,47
1753,Richard R. W.,Wilson-Cox,IT Management,Princeton University,47
1754,Benjamin Z. Y.,Wilson-Ward,Telecommunications,Imperial College London,25
1755,Lisa X. Y.,Wilson-Richardson,Human Resources,KU Leuven,53
1756,Olivia J. J.,Wilson-Watson,Software,Humboldt University of Berlin,42
1757,John J. Q.,Wilson-Brooks,IT Management,University of Michigan,28
1758,Linda H. S.,Wilson-Chavez,Real Estate,"University of California, Berkeley",46
1759,Linda,Wilson-Wood,Construction,Imperial College London,48
1760,Sofia W. R.,Wilson-James,Food & Beverage,"University of California, Los Angeles",34
1761,Sophia M. Z.,Wilson-Bennett,Manufacturing,Cornell University,43
1762,John N. Z.,Wilson-Gray,Business Products & Services,University of Warsaw,50
1763,Oskar L. G.,Wilson-Mendoza,Logistics & Transportation,London School of Economics and Political Science,32
1764,Mia V. Q.,Wilson-Ruiz,Construction,"University of California, Los Angeles",27
1765,Sarah,Wilson-Hughes,Construction,California Institute of Technology,42
1766,Amelia N. A.,Wilson-Price,Advertising & Marketing,Ghent University,51
1767,Barbara,Wilson-Rossi,Business Products & Services,Université Paris-Saclay,49
1768,Betty G. Q.,Wilson-Russo,Government Services,Stanford University,46
1769,Oskar H. G.,Wilson-Ferrari,Construction,Jagiellonian University,28
1770,Luca V. E.,Wilson-Bianchi,IT System Development,Yale University,24
1771,Chloe B. X.,Wilson-Romano,Advertising & Marketing,Jagiellonian University,52
1772,Eleni X. V.,Wilson-Esposito,Retail,ETH Zurich,33
1773,Jacob U. T.,Wilson-Greco,Consumer Products & Services,Sapienza University of Rome,43
1774,Anthony,Wilson-Conti,Food & Beverage,University College Dublin,25
1775,Aria Q. E.,Wilson-DeLuca,Consumer Products & Services,Charles University,39
1776,Oskar N. P.,Wilson-Costa,Consumer Products & Services,University of Oxford,37
1777,Isabella T. D.,Wilson-Silva,Software,Imperial College London,35
1778,Grace C. Q.,Wilson-Santos,Human Resources,Politecnico di Milano,38
1779,Lucas V. B.,Wilson-Ferreira,Advertising & Marketing,University of Warwick,35
1780,Lily W. H.,Wilson-Pereira,Computer Hardware,ETH Zurich,49
1781,Ryan O. Q.,Wilson-Oliveira,Logistics & Transportation,ETH Zurich,42
1782,Christopher C. V.,Wilson-Muller,Health,University of Oxford,54
1783,Thomas,Wilson-Schmidt,Consumer Products & Services,Massachusetts Institute of Technology,44
1784,Henry L. T.,Wilson-Schneider,Telecommunications,Aristotle University of Thessaloniki,44
1785,Nancy,Wilson-Fischer,IT Management,Université Paris-Saclay,51
1786,Mary U. X.,Wilson-Weber,Logistics & Transportation,Cornell University,41
1787,Ryan E. O.,Wilson-Dubois,Software,University of Edinburgh,43
1788,Irene K. I.,Wilson-Moreau,Engineering,Yale University,48
1789,Irene K. M.,Wilson-Lefevre,Advertising & Marketing,University of Warwick,40
1790,Nikolai P. B.,Wilson-Laurent,Retail,University of Bristol,48
1791,Evelyn L. Z.,Wilson-Leroy,Business Products & Services,California Institute of Technology,27
1792,Lucas R. W.,Wilson-Bernard,Food & Beverage,Sorbonne University,48
1793,Lucas J. B.,Wilson-Petit,Financial Services,Autonomous University of Barcelona,39
1794,Sarah Q. W.,Wilson-Durand,Real Estate,Heidelberg University,52
1795,Donna,Wilson-Nowak,Financial Services,Sapienza University of Rome,26
1796,Jacob G. J.,Wilson-Kowalski,Software,University of Bristol,37
1797,Nikolai Z. G.,Wilson-Novak,Retail,McGill University,43
1798,Amelia I. H.,Wilson-Horvat,Engineering,LMU Munich,38
1799,John M. P.,Wilson-Popescu,Software,University of Zurich,54
1800,Mark,Wilson-Ionescu,Construction,Charles University,43
1801,Michelle,Wilson-Papadopoulos,Food & Beverage,National and Kapodistrian University of Athens,29
1802,Michelle,Wilson-Georgiou,Education,UCL (University College London),32
1803,Mary U. P.,Wilson-Nikolaou,Manufacturing,Columbia University,26
1804,John E. V.,Wilson-Kostas,Consumer Products & Services,University of Oxford,42
1805,Steven,Wilson-Andriou,Health,University of Glasgow,37
1806,Anthony B. W.,Wilson-Vasileiou,Software,University of Amsterdam,47
1807,Paul,Anderson-Smith,Manufacturing,Sapienza University of Rome,54
1808,Andreas O. B.,Anderson-Johnson,IT Services,University of Bologna,42
1809,Steven F. I.,Anderson-Williams,Retail,Charles University,24
1810,Michelle,Anderson-Brown,IT Management,Jagiellonian University,48
1811,Kevin K. K.,Anderson-Jones,Manufacturing,California Institute of Technology,34
1812,Thomas,Anderson-Garcia,IT Management,Ghent University,28
1813,Robert O. A.,Anderson-Miller,Logistics & Transportation,Georgia Institute of Technology,38
1814,Giulia O. P.,Anderson-Davis,Advertising & Marketing,Autonomous University of Barcelona,35
1815,Alexander Y. D.,Anderson-Rodriguez,Human Resources,University of Edinburgh,24
1816,Timothy D. N.,Anderson-Martinez,Health,University of Edinburgh,50
1817,Margaret,Anderson-Hernandez,Advertising & Marketing,PSL University,39
1818,Oliver F. Z.,Anderson-Lopez,Business Products & Services,Princeton University,52
1819,Margaret,Anderson-Gonzalez,Consumer Products & Services,Trinity College Dublin,26
1820,Kimberly A. M.,Anderson-Wilson,Advertising & Marketing,Stockholm University,32
1821,Jacob H. Z.,Anderson-Thomas,Real Estate,KTH Royal Institute of Technology,40
1822,Ava E. O.,Anderson-Taylor,Advertising & Marketing,University College Dublin,36
1823,Karen W. X.,Anderson-Moore,Health,Jagiellonian University,29
1824,Margaret,Anderson-Jackson,Engineering,Trinity College Dublin,33
1825,Mason A. O.,Anderson-Martin,Software,University of Pennsylvania,35
1826,Betty G. X.,Anderson-Lee,Government Services,Delft University of Technology,43
1827,Sarah N. M.,Anderson-Perez,Software,RWTH Aachen University,33
1828,James E. A.,Anderson-Thompson,Advertising & Marketing,University of Patras,54
1829,Lucas B. R.,Anderson-White,Construction,Northwestern University,35
1830,Jacob R. S.,Anderson-Harris,Business Products & Services,University of Porto,54
1831,Brian L. M.,Anderson-Sanchez,Business Products & Services,University of Warsaw,33
1832,William,Anderson-Clark,Software,PSL University,41
1833,Katerina U. E.,Anderson-Ramirez,Software,University of Barcelona,52
1834,James,Anderson-Lewis,Business Products & Services,Uppsala University,38
1835,Robert,Anderson-Robinson,Insurance,PSL University,46
1836,Hugo E. Z.,Anderson-Walker,Business Products & Services,Columbia University,46
1837,William,Anderson-Young,IT Management,Humboldt University of Berlin,54
1838,Barbara T. C.,Anderson-Allen,Software,Leiden University,27
1839,Maria M. V.,Anderson-King,Logistics & Transportation,Ghent University,32
1840,Luca W. B.,Anderson-Wright,Manufacturing,University of Oxford,54
1841,Kimberly D. D.,Anderson-Scott,Software,Carnegie Mellon University,28
1842,Ryan Y. N.,Anderson-Torres,Consumer Products & Services,Northwestern University,52
1843,Lucas H. I.,Anderson-Nguyen,Telecommunications,Cornell University,46
1844,Sarah W. N.,Anderson-Hill,Manufacturing,ETH Zurich,52
1845,Susan,Anderson-Flores,Software,"University of California, Los Angeles",45
1846,Michael,Anderson-Green,Media,University of Warwick,54
1847,Patricia,Anderson-Adams,Advertising & Marketing,University of Patras,30
1848,Susan D. A.,Anderson-Nelson,Software,University of British Columbia,43
1849,Eleni V. W.,Anderson-Baker,Retail,Technical University of Munich,49
1850,Andreas O. H.,Anderson-Hall,Software,Politecnico di Milano,34
1851,Christopher,Anderson-Rivera,Advertising & Marketing,University of Oslo,49
1852,William,Anderson-Campbell,IT Management,"University of California, Berkeley",44
1853,Richard,Anderson-Mitchell,IT Management,"University of California, San Diego",44
1854,Irene I. P.,Anderson-Carter,Business Products & Services,Yale University,31
1855,Henry P. C.,Anderson-Roberts,Health,University of Warwick,54
1856,William E. Y.,Anderson-Phillips,Software,École Polytechnique,49
1857,Edward D. J.,Anderson-Evans,Media,Jagiellonian University,28
1858,Linda N. W.,Anderson-Turner,Financial Services,University of Warwick,47
1859,Jessica,Anderson-Diaz,Logistics & Transportation,Autonomous University of Barcelona,46
1860,Paul,Anderson-Parker,Advertising & Marketing,EPFL (École Polytechnique Fédérale de Lausanne),32
1861,Margaret D. L.,Anderson-Cruz,Manufacturing,National and Kapodistrian University of Athens,48
1862,Emily,Anderson-Edwards,Construction,Cornell University,45
1863,Leon V. F.,Anderson-Collins,Software,Yale University,27
1864,Robert D. Y.,Anderson-Reyes,Government Services,Sapienza University of Rome,27
1865,Sarah,Anderson-Stewart,Human Resources,Stanford University,43
1866,Thomas E. V.,Anderson-Morris,Software,Aarhus University,26
1867,Hannah P. V.,Anderson-Morales,Real Estate,University of Cambridge,26
1868,Lily V. X.,Anderson-Murphy,Construction,Johns Hopkins University,42
1869,Susan B. E.,Anderson-Cook,Logistics & Transportation,Uppsala University,41
1870,Sophia G. P.,Anderson-Rogers,Financial Services,École Polytechnique,30
1871,Maria L. D.,Anderson-Gutierrez,IT Management,London School of Economics and Political Science,49
1872,Noemi W. A.,Anderson-Ortiz,Construction,University of Toronto,33
1873,Daniel M. C.,Anderson-Morgan,Business Products & Services,Trinity College Dublin,28
1874,Andrew,Anderson-Cooper,IT Management,Carnegie Mellon University,44
1875,Camila M. W.,Anderson-Peterson,Consumer Products & Services,Sapienza University of Rome,33
1876,Kevin S. T.,Anderson-Bailey,Software,Ghent University,43
1877,Jennifer,Anderson-Reed,Software,Politecnico di Milano,45
1878,Victoria W. T.,Anderson-Kelly,Energy,University of Vienna,36
1879,Barbara K. C.,Anderson-Howard,Retail,University College Dublin,33
1880,Donna K. C.,Anderson-Ramos,Advertising & Marketing,Trinity College Dublin,41
1881,Michael O. U.,Anderson-Kim,Business Products & Services,"University of California, Berkeley",53
1882,Ella R. F.,Anderson-Cox,Advertising & Marketing,University of Manchester,46
1883,Susan B. P.,Anderson-Ward,Food & Beverage,University College Dublin,50
1884,Sandra,Anderson-Richardson,Advertising & Marketing,Stockholm University,35
1885,Sarah L. R.,Anderson-Watson,Retail,Aristotle University of Thessaloniki,42
1886,Ashley,Anderson-Brooks,Real Estate,California Institute of Technology,49
1887,Susan,Anderson-Chavez,Business Products & Services,Technical University of Munich,31
1888,James Z. S.,Anderson-Wood,Retail,Stockholm University,28
1889,Jason K. W.,Anderson-James,Education,Imperial College London,36
1890,Richard,Anderson-Bennett,IT Management,Complutense University of Madrid,25
1891,David,Anderson-Gray,Insurance,University of Helsinki,47
1892,Jeffrey X. Z.,Anderson-Mendoza,Financial Services,Humboldt University of Berlin,54
1893,Donald,Anderson-Ruiz,Consumer Products & Services,University of Porto,30
1894,Richard,Anderson-Hughes,IT Management,Autonomous University of Barcelona,44
1895,Noemi L. T.,Anderson-Price,Real Estate,Duke University,26
1896,Giannis H. H.,Anderson-Rossi,Computer Hardware,University of Geneva,33
1897,Michelle F. X.,Anderson-Russo,Retail,Complutense University of Madrid,52
1898,Kevin X. N.,Anderson-Ferrari,Software,Princeton University,40
1899,Hugo L. Z.,Anderson-Bianchi,Financial Services,University of Bristol,38
1900,Kimberly,Anderson-Romano,IT Management,The University of Texas at Austin,45
1901,Evelyn P. K.,Anderson-Esposito,Human Resources,Uppsala University,24
1902,Lily G. C.,Anderson-Greco,Business Products & Services,University of Glasgow,29
1903,Liam A. X.,Anderson-Conti,Real Estate,"University of California, San Diego",43
1904,George B. Z.,Anderson-DeLuca,Consumer Products & Services,University of Helsinki,54
1905,Michael,Anderson-Costa,Software,Imperial College London,24
1906,Karen,Anderson-Silva,Advertising & Marketing,"University of California, Berkeley",48
1907,Anna D. L.,Anderson-Santos,Construction,National and Kapodistrian University of Athens,36
1908,Leon O. B.,Anderson-Ferreira,Insurance,University of Cambridge,24
1909,Donald,Anderson-Pereira,Consumer Products & Services,Northwestern University,44
1910,Donna,Anderson-Oliveira,Software,University of Oxford,48
1911,Giannis K. F.,Anderson-Muller,Business Products & Services,Aarhus University,30
1912,Daniel,Anderson-Schmidt,Advertising & Marketing,Complutense University of Madrid,25
1913,Jason O. X.,Anderson-Schneider,Consumer Products & Services,Technical University of Munich,42
1914,Sandra C. F.,Anderson-Fischer,Human Resources,University of Copenhagen,41
1915,James N. I.,Anderson-Weber,Advertising & Marketing,National and Kapodistrian University of Athens,25
1916,Giannis H. G.,Anderson-Dubois,IT Management,Sapienza University of Rome,53
1917,George M. G.,Anderson-Moreau,Government Services,LMU Munich,30
1918,Katerina X. M.,Anderson-Lefevre,Health,University of Glasgow,41
1919,Patricia,Anderson-Laurent,Software,University of Michigan,45
1920,Edward E. F.,Anderson-Leroy,Software,The University of Texas at Austin,39
1921,John,Anderson-Bernard,Retail,Autonomous University of Barcelona,54
1922,Elizabeth Q. E.,Anderson-Petit,Real Estate,University of Warwick,49
1923,Emma P. X.,Anderson-Durand,Consumer Products & Services,Princeton University,51
1924,Charles,Anderson-Nowak,IT Services,University of Bologna,35
1925,Charlotte H. Q.,Anderson-Kowalski,Advertising & Marketing,École Polytechnique,29
1926,Michael,Anderson-Novak,Government Services,PSL University,40
1927,Chloe B. I.,Anderson-Horvat,Government Services,University of Barcelona,32
1928,Jennifer,Anderson-Popescu,Health,RWTH Aachen University,49
1929,Ashley,Anderson-Ionescu,Manufacturing,University of Cambridge,29
1930,Mark,Anderson-Papadopoulos,Software,University of Glasgow,31
1931,Henry F. K.,Anderson-Georgiou,Business Products & Services,University of Toronto,32
1932,John,Anderson-Nikolaou,Engineering,Johns Hopkins University,27
1933,Thomas,Anderson-Kostas,Real Estate,Columbia University,37
1934,Nikolai O. V.,Anderson-Andriou,Construction,Sapienza University of Rome,51
1935,Joshua,Anderson-Vasileiou,Software,University of Oslo,46
1936,Betty U. O.,Thomas-Smith,Consumer Products & Services,Technical University of Munich,52
1937,Linda N. N.,Thomas-Johnson,Consumer Products & Services,Autonomous University of Barcelona,30
1938,Henry A. K.,Thomas-Williams,Construction,University of Vienna,36
1939,Richard,Thomas-Brown,Insurance,Massachusetts Institute of Technology,36
1940,Kimberly E. E.,Thomas-Jones,Environmental Services,Stanford University,50
1941,Nikolai N. M.,Thomas-Garcia,Telecommunications,Autonomous University of Barcelona,54
1942,Anna C. P.,Thomas-Miller,Construction,École Polytechnique,48
1943,Mark,Thomas-Davis,Advertising & Marketing,Cornell University,30
1944,Karen,Thomas-Rodriguez,Consumer Products & Services,University of Zurich,41
1945,Lily U. E.,Thomas-Martinez,IT Management,Cornell University,36
1946,Thomas,Thomas-Hernandez,Business Products & Services,University of Toronto,54
1947,Joshua,Thomas-Lopez,Travel & Hospitality,Charles University,50
1948,Patricia N. Y.,Thomas-Gonzalez,Health,Massachusetts Institute of Technology,46
1949,Sandra,Thomas-Wilson,Advertising & Marketing,Delft University of Technology,26
1950,Kimberly,Thomas-Anderson,IT Services,Massachusetts Institute of Technology,49
1951,Joseph,Thomas-Taylor,Health,"University of California, Los Angeles",39
1952,Marco D. I.,Thomas-Moore,IT Management,"University of California, Los Angeles",44
1953,Abigail D. I.,Thomas-Jackson,Software,The University of Texas at Austin,44
1954,Michael,Thomas-Martin,Construction,Duke University,51
1955,Eleni D. Z.,Thomas-Lee,Consumer Products & Services,Trinity College Dublin,49
1956,Karen L. K.,Thomas-Perez,Business Products & Services,University of Edinburgh,26
1957,Charles Q. B.,Thomas-Thompson,Energy,Stockholm University,42
1958,Barbara Q. U.,Thomas-White,Engineering,University of Edinburgh,29
1959,Jennifer,Thomas-Harris,Government Services,University of Copenhagen,28
1960,Donna,Thomas-Sanchez,Government Services,University of Copenhagen,43
1961,Betty,Thomas-Clark,Business Products & Services,University of Helsinki,26
1962,Ava R. S.,Thomas-Ramirez,Telecommunications,University of Pennsylvania,33
1963,Jessica,Thomas-Lewis,Consumer Products & Services,Humboldt University of Berlin,34
1964,Steven,Thomas-Robinson,Health,University of Valencia,50
1965,Robert U. V.,Thomas-Walker,Human Resources,University of Michigan,25
1966,Lucas F. J.,Thomas-Young,Energy,EPFL (École Polytechnique Fédérale de Lausanne),37
1967,Lisa J. F.,Thomas-Allen,Financial Services,Technical University of Munich,39
1968,Charlotte T. R.,Thomas-King,Business Products & Services,Stanford University,27
1969,Leon H. E.,Thomas-Wright,Advertising & Marketing,University of Michigan,41
1970,Emma L. L.,Thomas-Scott,Government Services,Delft University of Technology,24
1971,Elena D. A.,Thomas-Torres,Software,Imperial College London,48
1972,Anthony,Thomas-Nguyen,Food & Beverage,Autonomous University of Barcelona,47
1973,Mary C. G.,Thomas-Hill,Real Estate,Carnegie Mellon University,42
1974,Evelyn Z. M.,Thomas-Flores,Construction,Northwestern University,53
1975,Aria V. C.,Thomas-Green,Consumer Products & Services,Humboldt University of Berlin,54
1976,Betty S. V.,Thomas-Adams,Construction,Sorbonne University,44
1977,Mia S. C.,Thomas-Nelson,Construction,Uppsala University,35
1978,Christopher,Thomas-Baker,Human Resources,Columbia University,25
1979,Ashley C. N.,Thomas-Hall,Logistics & Transportation,Cornell University,39
1980,Andrew,Thomas-Rivera,Business Products & Services,Carnegie Mellon University,53
1981,Maria L. Q.,Thomas-Campbell,Construction,"University of California, San Diego",35
1982,Patricia A. I.,Thomas-Mitchell,Human Resources,Sorbonne University,27
1983,Richard A. W.,Thomas-Carter,Human Resources,University of Manchester,43
1984,Mateo B. W.,Thomas-Roberts,Health,University of Bologna,26
1985,John,Thomas-Phillips,Government Services,Leiden University,31
1986,Linda E. D.,Thomas-Evans,Software,University of Manchester,24
1987,Barbara,Thomas-Turner,Advertising & Marketing,University of Cambridge,43
1988,Elizabeth D. F.,Thomas-Diaz,Software,University College Dublin,42
